question,answer,image_id
What is the emotion in the image 8qrpnFRGt2A_18?,normal,8qrpnFRGt2A_18
What is the emotion in the image 8qrpnFRGt2A_19?,normal,8qrpnFRGt2A_19
What is the emotion in the image 8qrpnFRGt2A_1?,normal,8qrpnFRGt2A_1
What is the emotion in the image 8qrpnFRGt2A_20?,sad,8qrpnFRGt2A_20
What is the emotion in the image 8qrpnFRGt2A_21?,normal,8qrpnFRGt2A_21
What is the emotion in the image 8qrpnFRGt2A_22?,normal,8qrpnFRGt2A_22
What is the emotion in the image 8qrpnFRGt2A_23?,normal,8qrpnFRGt2A_23
What is the emotion in the image 8qrpnFRGt2A_24?,normal,8qrpnFRGt2A_24
What is the emotion in the image 8qrpnFRGt2A_25?,sad,8qrpnFRGt2A_25
What is the emotion in the image 8qrpnFRGt2A_2?,sad,8qrpnFRGt2A_2
What is the emotion in the image 8qrpnFRGt2A_3?,sad,8qrpnFRGt2A_3
What is the emotion in the image 8qrpnFRGt2A_4?,sad,8qrpnFRGt2A_4
What is the emotion in the image 8qrpnFRGt2A_5?,sad,8qrpnFRGt2A_5
What is the emotion in the image 8qrpnFRGt2A_6?,sad,8qrpnFRGt2A_6
What is the emotion in the image 8qrpnFRGt2A_7?,normal,8qrpnFRGt2A_7
What is the emotion in the image 8qrpnFRGt2A_8?,normal,8qrpnFRGt2A_8
What is the emotion in the image 8qrpnFRGt2A_9?,sad,8qrpnFRGt2A_9
What is the emotion in the image 9J25DZhivz8_0?,happy,9J25DZhivz8_0
What is the emotion in the image 9J25DZhivz8_10?,normal,9J25DZhivz8_10
What is the emotion in the image 9J25DZhivz8_11?,normal,9J25DZhivz8_11
What is the emotion in the image 9J25DZhivz8_12?,normal,9J25DZhivz8_12
What is the emotion in the image 9J25DZhivz8_13?,happy,9J25DZhivz8_13
What is the emotion in the image 9J25DZhivz8_14?,happy,9J25DZhivz8_14
What is the emotion in the image 9J25DZhivz8_15?,happy,9J25DZhivz8_15
What is the emotion in the image 9J25DZhivz8_16?,normal,9J25DZhivz8_16
What is the emotion in the image 9J25DZhivz8_17?,normal,9J25DZhivz8_17
What is the emotion in the image 9J25DZhivz8_18?,normal,9J25DZhivz8_18
What is the emotion in the image 9J25DZhivz8_19?,happy,9J25DZhivz8_19
What is the emotion in the image 9J25DZhivz8_1?,happy,9J25DZhivz8_1
What is the emotion in the image 9J25DZhivz8_20?,happy,9J25DZhivz8_20
What is the emotion in the image 9J25DZhivz8_21?,normal,9J25DZhivz8_21
What is the emotion in the image 9J25DZhivz8_22?,happy,9J25DZhivz8_22
What is the emotion in the image 9J25DZhivz8_23?,happy,9J25DZhivz8_23
What is the emotion in the image 9J25DZhivz8_24?,happy,9J25DZhivz8_24
What is the emotion in the image 9J25DZhivz8_2?,happy,9J25DZhivz8_2
What is the emotion in the image 9J25DZhivz8_3?,happy,9J25DZhivz8_3
What is the emotion in the image 9J25DZhivz8_4?,happy,9J25DZhivz8_4
What is the emotion in the image 9J25DZhivz8_5?,happy,9J25DZhivz8_5
What is the emotion in the image 9J25DZhivz8_6?,happy,9J25DZhivz8_6
What is the emotion in the image 9J25DZhivz8_7?,happy,9J25DZhivz8_7
What is the emotion in the image 9J25DZhivz8_8?,happy,9J25DZhivz8_8
What is the emotion in the image 9J25DZhivz8_9?,happy,9J25DZhivz8_9
What is the emotion in the image 9T9Hf74oK10_0?,normal,9T9Hf74oK10_0
What is the emotion in the image 9T9Hf74oK10_10?,normal,9T9Hf74oK10_10
What is the emotion in the image 9T9Hf74oK10_11?,happy,9T9Hf74oK10_11
What is the emotion in the image 9T9Hf74oK10_12?,happy,9T9Hf74oK10_12
What is the emotion in the image 9T9Hf74oK10_13?,happy,9T9Hf74oK10_13
What is the emotion in the image 9T9Hf74oK10_14?,normal,9T9Hf74oK10_14
What is the emotion in the image 9T9Hf74oK10_15?,happy,9T9Hf74oK10_15
What is the emotion in the image 9T9Hf74oK10_16?,normal,9T9Hf74oK10_16
What is the emotion in the image 9T9Hf74oK10_17?,happy,9T9Hf74oK10_17
What is the emotion in the image 9T9Hf74oK10_18?,happy,9T9Hf74oK10_18
What is the emotion in the image 9T9Hf74oK10_19?,normal,9T9Hf74oK10_19
What is the emotion in the image 9T9Hf74oK10_1?,happy,9T9Hf74oK10_1
What is the emotion in the image 9T9Hf74oK10_20?,normal,9T9Hf74oK10_20
What is the emotion in the image 9T9Hf74oK10_21?,normal,9T9Hf74oK10_21
What is the emotion in the image 9T9Hf74oK10_22?,normal,9T9Hf74oK10_22
What is the emotion in the image 9T9Hf74oK10_23?,normal,9T9Hf74oK10_23
What is the emotion in the image 9T9Hf74oK10_24?,normal,9T9Hf74oK10_24
What is the emotion in the image 9T9Hf74oK10_2?,normal,9T9Hf74oK10_2
What is the emotion in the image 9T9Hf74oK10_3?,normal,9T9Hf74oK10_3
What is the emotion in the image 9T9Hf74oK10_4?,sad,9T9Hf74oK10_4
What is the emotion in the image 9T9Hf74oK10_5?,happy,9T9Hf74oK10_5
What is the emotion in the image 9T9Hf74oK10_6?,normal,9T9Hf74oK10_6
What is the emotion in the image 9T9Hf74oK10_7?,sad,9T9Hf74oK10_7
What is the emotion in the image 9T9Hf74oK10_8?,happy,9T9Hf74oK10_8
What is the emotion in the image 9T9Hf74oK10_9?,sad,9T9Hf74oK10_9
What is the emotion in the image 9c67fiY0wGQ_0?,normal,9c67fiY0wGQ_0
What is the emotion in the image 9c67fiY0wGQ_10?,happy,9c67fiY0wGQ_10
What is the emotion in the image 9c67fiY0wGQ_11?,happy,9c67fiY0wGQ_11
What is the emotion in the image 9c67fiY0wGQ_1?,happy,9c67fiY0wGQ_1
What is the emotion in the image 9c67fiY0wGQ_2?,happy,9c67fiY0wGQ_2
What is the emotion in the image 9c67fiY0wGQ_3?,happy,9c67fiY0wGQ_3
What is the emotion in the image 9c67fiY0wGQ_4?,happy,9c67fiY0wGQ_4
What is the emotion in the image 9c67fiY0wGQ_5?,happy,9c67fiY0wGQ_5
What is the emotion in the image 9c67fiY0wGQ_6?,happy,9c67fiY0wGQ_6
What is the emotion in the image 9c67fiY0wGQ_7?,happy,9c67fiY0wGQ_7
What is the emotion in the image 9c67fiY0wGQ_8?,happy,9c67fiY0wGQ_8
What is the emotion in the image 9c67fiY0wGQ_9?,happy,9c67fiY0wGQ_9
What is the emotion in the image 9qR7uwkblbs_0?,normal,9qR7uwkblbs_0
What is the emotion in the image 9qR7uwkblbs_10?,happy,9qR7uwkblbs_10
What is the emotion in the image 9qR7uwkblbs_11?,normal,9qR7uwkblbs_11
What is the emotion in the image 9qR7uwkblbs_12?,sad,9qR7uwkblbs_12
What is the emotion in the image 9qR7uwkblbs_13?,sad,9qR7uwkblbs_13
What is the emotion in the image 9qR7uwkblbs_14?,normal,9qR7uwkblbs_14
What is the emotion in the image 9qR7uwkblbs_15?,normal,9qR7uwkblbs_15
What is the emotion in the image 9qR7uwkblbs_16?,normal,9qR7uwkblbs_16
What is the emotion in the image 9qR7uwkblbs_17?,normal,9qR7uwkblbs_17
What is the emotion in the image 9qR7uwkblbs_18?,normal,9qR7uwkblbs_18
What is the emotion in the image 9qR7uwkblbs_19?,normal,9qR7uwkblbs_19
What is the emotion in the image 9qR7uwkblbs_1?,happy,9qR7uwkblbs_1
What is the emotion in the image 9qR7uwkblbs_20?,sad,9qR7uwkblbs_20
What is the emotion in the image 9qR7uwkblbs_21?,normal,9qR7uwkblbs_21
What is the emotion in the image 9qR7uwkblbs_22?,sad,9qR7uwkblbs_22
What is the emotion in the image 9qR7uwkblbs_23?,normal,9qR7uwkblbs_23
What is the emotion in the image 9qR7uwkblbs_24?,happy,9qR7uwkblbs_24
What is the emotion in the image 9qR7uwkblbs_25?,normal,9qR7uwkblbs_25
What is the emotion in the image 9qR7uwkblbs_26?,normal,9qR7uwkblbs_26
What is the emotion in the image 9qR7uwkblbs_27?,normal,9qR7uwkblbs_27
What is the emotion in the image 9qR7uwkblbs_28?,sad,9qR7uwkblbs_28
What is the emotion in the image 9qR7uwkblbs_29?,normal,9qR7uwkblbs_29
What is the emotion in the image 9qR7uwkblbs_2?,normal,9qR7uwkblbs_2
What is the emotion in the image 9qR7uwkblbs_30?,normal,9qR7uwkblbs_30
What is the emotion in the image 9qR7uwkblbs_31?,happy,9qR7uwkblbs_31
What is the emotion in the image 9qR7uwkblbs_32?,normal,9qR7uwkblbs_32
What is the emotion in the image 9qR7uwkblbs_3?,normal,9qR7uwkblbs_3
What is the emotion in the image 9qR7uwkblbs_4?,normal,9qR7uwkblbs_4
What is the emotion in the image 9qR7uwkblbs_5?,sad,9qR7uwkblbs_5
What is the emotion in the image 9qR7uwkblbs_6?,happy,9qR7uwkblbs_6
What is the emotion in the image 9qR7uwkblbs_7?,happy,9qR7uwkblbs_7
What is the emotion in the image 9qR7uwkblbs_8?,sad,9qR7uwkblbs_8
What is the emotion in the image 9qR7uwkblbs_9?,happy,9qR7uwkblbs_9
What is the emotion in the image Af8D0E4ZXaw_0?,normal,Af8D0E4ZXaw_0
What is the emotion in the image Af8D0E4ZXaw_10?,normal,Af8D0E4ZXaw_10
What is the emotion in the image Af8D0E4ZXaw_11?,happy,Af8D0E4ZXaw_11
What is the emotion in the image Af8D0E4ZXaw_12?,happy,Af8D0E4ZXaw_12
What is the emotion in the image Af8D0E4ZXaw_13?,happy,Af8D0E4ZXaw_13
What is the emotion in the image Af8D0E4ZXaw_14?,happy,Af8D0E4ZXaw_14
What is the emotion in the image Af8D0E4ZXaw_15?,happy,Af8D0E4ZXaw_15
What is the emotion in the image Af8D0E4ZXaw_16?,happy,Af8D0E4ZXaw_16
What is the emotion in the image Af8D0E4ZXaw_17?,happy,Af8D0E4ZXaw_17
What is the emotion in the image Af8D0E4ZXaw_18?,happy,Af8D0E4ZXaw_18
What is the emotion in the image Af8D0E4ZXaw_19?,happy,Af8D0E4ZXaw_19
What is the emotion in the image Af8D0E4ZXaw_1?,normal,Af8D0E4ZXaw_1
What is the emotion in the image Af8D0E4ZXaw_20?,normal,Af8D0E4ZXaw_20
What is the emotion in the image Af8D0E4ZXaw_21?,sad,Af8D0E4ZXaw_21
What is the emotion in the image Af8D0E4ZXaw_22?,normal,Af8D0E4ZXaw_22
What is the emotion in the image Af8D0E4ZXaw_23?,sad,Af8D0E4ZXaw_23
What is the emotion in the image Af8D0E4ZXaw_24?,sad,Af8D0E4ZXaw_24
What is the emotion in the image Af8D0E4ZXaw_25?,sad,Af8D0E4ZXaw_25
What is the emotion in the image Af8D0E4ZXaw_26?,sad,Af8D0E4ZXaw_26
What is the emotion in the image Af8D0E4ZXaw_27?,normal,Af8D0E4ZXaw_27
What is the emotion in the image Af8D0E4ZXaw_28?,normal,Af8D0E4ZXaw_28
What is the emotion in the image Af8D0E4ZXaw_29?,normal,Af8D0E4ZXaw_29
What is the emotion in the image Af8D0E4ZXaw_2?,normal,Af8D0E4ZXaw_2
What is the emotion in the image Af8D0E4ZXaw_30?,normal,Af8D0E4ZXaw_30
What is the emotion in the image Af8D0E4ZXaw_3?,normal,Af8D0E4ZXaw_3
What is the emotion in the image Af8D0E4ZXaw_4?,normal,Af8D0E4ZXaw_4
What is the emotion in the image Af8D0E4ZXaw_5?,sad,Af8D0E4ZXaw_5
What is the emotion in the image Af8D0E4ZXaw_6?,sad,Af8D0E4ZXaw_6
What is the emotion in the image Af8D0E4ZXaw_7?,normal,Af8D0E4ZXaw_7
What is the emotion in the image Af8D0E4ZXaw_8?,normal,Af8D0E4ZXaw_8
What is the emotion in the image Af8D0E4ZXaw_9?,normal,Af8D0E4ZXaw_9
What is the emotion in the image BI97DNYfe5I_0?,happy,BI97DNYfe5I_0
What is the emotion in the image BI97DNYfe5I_10?,happy,BI97DNYfe5I_10
What is the emotion in the image BI97DNYfe5I_11?,happy,BI97DNYfe5I_11
What is the emotion in the image BI97DNYfe5I_12?,happy,BI97DNYfe5I_12
What is the emotion in the image BI97DNYfe5I_13?,happy,BI97DNYfe5I_13
What is the emotion in the image BI97DNYfe5I_14?,happy,BI97DNYfe5I_14
What is the emotion in the image BI97DNYfe5I_15?,happy,BI97DNYfe5I_15
What is the emotion in the image BI97DNYfe5I_16?,happy,BI97DNYfe5I_16
What is the emotion in the image BI97DNYfe5I_17?,happy,BI97DNYfe5I_17
What is the emotion in the image BI97DNYfe5I_18?,happy,BI97DNYfe5I_18
What is the emotion in the image BI97DNYfe5I_19?,normal,BI97DNYfe5I_19
What is the emotion in the image BI97DNYfe5I_1?,normal,BI97DNYfe5I_1
What is the emotion in the image BI97DNYfe5I_20?,happy,BI97DNYfe5I_20
What is the emotion in the image BI97DNYfe5I_21?,happy,BI97DNYfe5I_21
What is the emotion in the image BI97DNYfe5I_22?,happy,BI97DNYfe5I_22
What is the emotion in the image BI97DNYfe5I_23?,happy,BI97DNYfe5I_23
What is the emotion in the image BI97DNYfe5I_24?,happy,BI97DNYfe5I_24
What is the emotion in the image BI97DNYfe5I_25?,happy,BI97DNYfe5I_25
What is the emotion in the image BI97DNYfe5I_26?,normal,BI97DNYfe5I_26
What is the emotion in the image BI97DNYfe5I_27?,happy,BI97DNYfe5I_27
What is the emotion in the image BI97DNYfe5I_28?,normal,BI97DNYfe5I_28
What is the emotion in the image BI97DNYfe5I_29?,happy,BI97DNYfe5I_29
What is the emotion in the image BI97DNYfe5I_2?,normal,BI97DNYfe5I_2
What is the emotion in the image BI97DNYfe5I_30?,happy,BI97DNYfe5I_30
What is the emotion in the image BI97DNYfe5I_3?,happy,BI97DNYfe5I_3
What is the emotion in the image BI97DNYfe5I_4?,happy,BI97DNYfe5I_4
What is the emotion in the image BI97DNYfe5I_5?,happy,BI97DNYfe5I_5
What is the emotion in the image BI97DNYfe5I_6?,normal,BI97DNYfe5I_6
What is the emotion in the image BI97DNYfe5I_7?,normal,BI97DNYfe5I_7
What is the emotion in the image BI97DNYfe5I_8?,happy,BI97DNYfe5I_8
What is the emotion in the image BI97DNYfe5I_9?,happy,BI97DNYfe5I_9
What is the emotion in the image BXuRRbG0Ugk_0?,normal,BXuRRbG0Ugk_0
What is the emotion in the image BXuRRbG0Ugk_10?,sad,BXuRRbG0Ugk_10
What is the emotion in the image BXuRRbG0Ugk_11?,happy,BXuRRbG0Ugk_11
What is the emotion in the image BXuRRbG0Ugk_12?,normal,BXuRRbG0Ugk_12
What is the emotion in the image BXuRRbG0Ugk_13?,sad,BXuRRbG0Ugk_13
What is the emotion in the image BXuRRbG0Ugk_14?,normal,BXuRRbG0Ugk_14
What is the emotion in the image BXuRRbG0Ugk_15?,normal,BXuRRbG0Ugk_15
What is the emotion in the image BXuRRbG0Ugk_16?,sad,BXuRRbG0Ugk_16
What is the emotion in the image BXuRRbG0Ugk_17?,sad,BXuRRbG0Ugk_17
What is the emotion in the image BXuRRbG0Ugk_18?,normal,BXuRRbG0Ugk_18
What is the emotion in the image BXuRRbG0Ugk_19?,normal,BXuRRbG0Ugk_19
What is the emotion in the image BXuRRbG0Ugk_1?,normal,BXuRRbG0Ugk_1
What is the emotion in the image BXuRRbG0Ugk_20?,happy,BXuRRbG0Ugk_20
What is the emotion in the image BXuRRbG0Ugk_21?,normal,BXuRRbG0Ugk_21
What is the emotion in the image BXuRRbG0Ugk_22?,happy,BXuRRbG0Ugk_22
What is the emotion in the image BXuRRbG0Ugk_23?,happy,BXuRRbG0Ugk_23
What is the emotion in the image BXuRRbG0Ugk_24?,happy,BXuRRbG0Ugk_24
What is the emotion in the image BXuRRbG0Ugk_25?,happy,BXuRRbG0Ugk_25
What is the emotion in the image BXuRRbG0Ugk_26?,normal,BXuRRbG0Ugk_26
What is the emotion in the image BXuRRbG0Ugk_27?,happy,BXuRRbG0Ugk_27
What is the emotion in the image BXuRRbG0Ugk_28?,happy,BXuRRbG0Ugk_28
What is the emotion in the image BXuRRbG0Ugk_29?,sad,BXuRRbG0Ugk_29
What is the emotion in the image BXuRRbG0Ugk_2?,normal,BXuRRbG0Ugk_2
What is the emotion in the image BXuRRbG0Ugk_30?,normal,BXuRRbG0Ugk_30
What is the emotion in the image BXuRRbG0Ugk_3?,normal,BXuRRbG0Ugk_3
What is the emotion in the image BXuRRbG0Ugk_4?,normal,BXuRRbG0Ugk_4
What is the emotion in the image BXuRRbG0Ugk_5?,happy,BXuRRbG0Ugk_5
What is the emotion in the image BXuRRbG0Ugk_6?,normal,BXuRRbG0Ugk_6
What is the emotion in the image BXuRRbG0Ugk_7?,happy,BXuRRbG0Ugk_7
What is the emotion in the image BXuRRbG0Ugk_8?,sad,BXuRRbG0Ugk_8
What is the emotion in the image BXuRRbG0Ugk_9?,happy,BXuRRbG0Ugk_9
What is the emotion in the image Bfr499ggo-0_0?,sad,Bfr499ggo-0_0
What is the emotion in the image Bfr499ggo-0_10?,normal,Bfr499ggo-0_10
What is the emotion in the image Bfr499ggo-0_11?,sad,Bfr499ggo-0_11
What is the emotion in the image Bfr499ggo-0_12?,sad,Bfr499ggo-0_12
What is the emotion in the image Bfr499ggo-0_13?,normal,Bfr499ggo-0_13
What is the emotion in the image Bfr499ggo-0_14?,normal,Bfr499ggo-0_14
What is the emotion in the image Bfr499ggo-0_15?,happy,Bfr499ggo-0_15
What is the emotion in the image Bfr499ggo-0_16?,happy,Bfr499ggo-0_16
What is the emotion in the image Bfr499ggo-0_17?,normal,Bfr499ggo-0_17
What is the emotion in the image Bfr499ggo-0_18?,sad,Bfr499ggo-0_18
What is the emotion in the image Bfr499ggo-0_19?,sad,Bfr499ggo-0_19
What is the emotion in the image Bfr499ggo-0_1?,normal,Bfr499ggo-0_1
What is the emotion in the image Bfr499ggo-0_20?,sad,Bfr499ggo-0_20
What is the emotion in the image Bfr499ggo-0_21?,happy,Bfr499ggo-0_21
What is the emotion in the image Bfr499ggo-0_2?,happy,Bfr499ggo-0_2
What is the emotion in the image Bfr499ggo-0_3?,sad,Bfr499ggo-0_3
What is the emotion in the image Bfr499ggo-0_4?,sad,Bfr499ggo-0_4
What is the emotion in the image Bfr499ggo-0_5?,sad,Bfr499ggo-0_5
What is the emotion in the image Bfr499ggo-0_6?,normal,Bfr499ggo-0_6
What is the emotion in the image Bfr499ggo-0_7?,sad,Bfr499ggo-0_7
What is the emotion in the image Bfr499ggo-0_8?,normal,Bfr499ggo-0_8
What is the emotion in the image Bfr499ggo-0_9?,happy,Bfr499ggo-0_9
What is the emotion in the image BioHAh1qJAQ_0?,happy,BioHAh1qJAQ_0
What is the emotion in the image BioHAh1qJAQ_10?,normal,BioHAh1qJAQ_10
What is the emotion in the image BioHAh1qJAQ_11?,normal,BioHAh1qJAQ_11
What is the emotion in the image BioHAh1qJAQ_12?,happy,BioHAh1qJAQ_12
What is the emotion in the image BioHAh1qJAQ_13?,happy,BioHAh1qJAQ_13
What is the emotion in the image BioHAh1qJAQ_14?,normal,BioHAh1qJAQ_14
What is the emotion in the image BioHAh1qJAQ_15?,normal,BioHAh1qJAQ_15
What is the emotion in the image BioHAh1qJAQ_16?,happy,BioHAh1qJAQ_16
What is the emotion in the image BioHAh1qJAQ_17?,happy,BioHAh1qJAQ_17
What is the emotion in the image BioHAh1qJAQ_18?,happy,BioHAh1qJAQ_18
What is the emotion in the image BioHAh1qJAQ_19?,sad,BioHAh1qJAQ_19
What is the emotion in the image BioHAh1qJAQ_1?,happy,BioHAh1qJAQ_1
What is the emotion in the image BioHAh1qJAQ_20?,normal,BioHAh1qJAQ_20
What is the emotion in the image BioHAh1qJAQ_21?,sad,BioHAh1qJAQ_21
What is the emotion in the image BioHAh1qJAQ_22?,sad,BioHAh1qJAQ_22
What is the emotion in the image BioHAh1qJAQ_23?,sad,BioHAh1qJAQ_23
What is the emotion in the image BioHAh1qJAQ_24?,sad,BioHAh1qJAQ_24
What is the emotion in the image BioHAh1qJAQ_25?,normal,BioHAh1qJAQ_25
What is the emotion in the image BioHAh1qJAQ_26?,normal,BioHAh1qJAQ_26
What is the emotion in the image BioHAh1qJAQ_27?,sad,BioHAh1qJAQ_27
What is the emotion in the image BioHAh1qJAQ_28?,normal,BioHAh1qJAQ_28
What is the emotion in the image BioHAh1qJAQ_29?,sad,BioHAh1qJAQ_29
What is the emotion in the image BioHAh1qJAQ_2?,normal,BioHAh1qJAQ_2
What is the emotion in the image BioHAh1qJAQ_3?,normal,BioHAh1qJAQ_3
What is the emotion in the image BioHAh1qJAQ_4?,happy,BioHAh1qJAQ_4
What is the emotion in the image BioHAh1qJAQ_5?,sad,BioHAh1qJAQ_5
What is the emotion in the image BioHAh1qJAQ_6?,happy,BioHAh1qJAQ_6
What is the emotion in the image BioHAh1qJAQ_7?,happy,BioHAh1qJAQ_7
What is the emotion in the image BioHAh1qJAQ_8?,happy,BioHAh1qJAQ_8
What is the emotion in the image BioHAh1qJAQ_9?,happy,BioHAh1qJAQ_9
What is the emotion in the image BvYR0L6f2Ig_0?,happy,BvYR0L6f2Ig_0
What is the emotion in the image BvYR0L6f2Ig_10?,normal,BvYR0L6f2Ig_10
What is the emotion in the image BvYR0L6f2Ig_11?,normal,BvYR0L6f2Ig_11
What is the emotion in the image BvYR0L6f2Ig_12?,sad,BvYR0L6f2Ig_12
What is the emotion in the image BvYR0L6f2Ig_13?,sad,BvYR0L6f2Ig_13
What is the emotion in the image BvYR0L6f2Ig_14?,sad,BvYR0L6f2Ig_14
What is the emotion in the image BvYR0L6f2Ig_15?,happy,BvYR0L6f2Ig_15
What is the emotion in the image BvYR0L6f2Ig_16?,happy,BvYR0L6f2Ig_16
What is the emotion in the image BvYR0L6f2Ig_17?,normal,BvYR0L6f2Ig_17
What is the emotion in the image BvYR0L6f2Ig_18?,happy,BvYR0L6f2Ig_18
What is the emotion in the image BvYR0L6f2Ig_19?,happy,BvYR0L6f2Ig_19
What is the emotion in the image BvYR0L6f2Ig_1?,happy,BvYR0L6f2Ig_1
What is the emotion in the image BvYR0L6f2Ig_20?,happy,BvYR0L6f2Ig_20
What is the emotion in the image BvYR0L6f2Ig_21?,normal,BvYR0L6f2Ig_21
What is the emotion in the image BvYR0L6f2Ig_22?,happy,BvYR0L6f2Ig_22
What is the emotion in the image BvYR0L6f2Ig_23?,happy,BvYR0L6f2Ig_23
What is the emotion in the image BvYR0L6f2Ig_24?,happy,BvYR0L6f2Ig_24
What is the emotion in the image BvYR0L6f2Ig_25?,happy,BvYR0L6f2Ig_25
What is the emotion in the image BvYR0L6f2Ig_2?,normal,BvYR0L6f2Ig_2
What is the emotion in the image BvYR0L6f2Ig_3?,normal,BvYR0L6f2Ig_3
What is the emotion in the image BvYR0L6f2Ig_4?,normal,BvYR0L6f2Ig_4
What is the emotion in the image BvYR0L6f2Ig_5?,normal,BvYR0L6f2Ig_5
What is the emotion in the image BvYR0L6f2Ig_6?,happy,BvYR0L6f2Ig_6
What is the emotion in the image BvYR0L6f2Ig_7?,normal,BvYR0L6f2Ig_7
What is the emotion in the image BvYR0L6f2Ig_8?,happy,BvYR0L6f2Ig_8
What is the emotion in the image BvYR0L6f2Ig_9?,sad,BvYR0L6f2Ig_9
What is the emotion in the image Ci-AH39fi3Y_0?,happy,Ci-AH39fi3Y_0
What is the emotion in the image Ci-AH39fi3Y_10?,sad,Ci-AH39fi3Y_10
What is the emotion in the image Ci-AH39fi3Y_11?,happy,Ci-AH39fi3Y_11
What is the emotion in the image Ci-AH39fi3Y_12?,sad,Ci-AH39fi3Y_12
What is the emotion in the image Ci-AH39fi3Y_13?,normal,Ci-AH39fi3Y_13
What is the emotion in the image Ci-AH39fi3Y_14?,normal,Ci-AH39fi3Y_14
What is the emotion in the image Ci-AH39fi3Y_15?,sad,Ci-AH39fi3Y_15
What is the emotion in the image Ci-AH39fi3Y_16?,sad,Ci-AH39fi3Y_16
What is the emotion in the image Ci-AH39fi3Y_17?,sad,Ci-AH39fi3Y_17
What is the emotion in the image Ci-AH39fi3Y_18?,normal,Ci-AH39fi3Y_18
What is the emotion in the image Ci-AH39fi3Y_19?,happy,Ci-AH39fi3Y_19
What is the emotion in the image Ci-AH39fi3Y_1?,happy,Ci-AH39fi3Y_1
What is the emotion in the image Ci-AH39fi3Y_20?,happy,Ci-AH39fi3Y_20
What is the emotion in the image Ci-AH39fi3Y_21?,normal,Ci-AH39fi3Y_21
What is the emotion in the image Ci-AH39fi3Y_22?,normal,Ci-AH39fi3Y_22
What is the emotion in the image Ci-AH39fi3Y_23?,normal,Ci-AH39fi3Y_23
What is the emotion in the image Ci-AH39fi3Y_24?,happy,Ci-AH39fi3Y_24
What is the emotion in the image Ci-AH39fi3Y_25?,normal,Ci-AH39fi3Y_25
What is the emotion in the image Ci-AH39fi3Y_26?,normal,Ci-AH39fi3Y_26
What is the emotion in the image Ci-AH39fi3Y_27?,normal,Ci-AH39fi3Y_27
What is the emotion in the image Ci-AH39fi3Y_28?,happy,Ci-AH39fi3Y_28
What is the emotion in the image Ci-AH39fi3Y_29?,normal,Ci-AH39fi3Y_29
What is the emotion in the image Ci-AH39fi3Y_2?,normal,Ci-AH39fi3Y_2
What is the emotion in the image Ci-AH39fi3Y_30?,happy,Ci-AH39fi3Y_30
What is the emotion in the image Ci-AH39fi3Y_31?,happy,Ci-AH39fi3Y_31
What is the emotion in the image Ci-AH39fi3Y_32?,sad,Ci-AH39fi3Y_32
What is the emotion in the image Ci-AH39fi3Y_33?,normal,Ci-AH39fi3Y_33
What is the emotion in the image Ci-AH39fi3Y_34?,normal,Ci-AH39fi3Y_34
What is the emotion in the image Ci-AH39fi3Y_35?,sad,Ci-AH39fi3Y_35
What is the emotion in the image Ci-AH39fi3Y_36?,happy,Ci-AH39fi3Y_36
What is the emotion in the image Ci-AH39fi3Y_37?,happy,Ci-AH39fi3Y_37
What is the emotion in the image Ci-AH39fi3Y_38?,happy,Ci-AH39fi3Y_38
What is the emotion in the image Ci-AH39fi3Y_39?,sad,Ci-AH39fi3Y_39
What is the emotion in the image Ci-AH39fi3Y_3?,happy,Ci-AH39fi3Y_3
What is the emotion in the image Ci-AH39fi3Y_40?,sad,Ci-AH39fi3Y_40
What is the emotion in the image Ci-AH39fi3Y_41?,sad,Ci-AH39fi3Y_41
What is the emotion in the image Ci-AH39fi3Y_42?,happy,Ci-AH39fi3Y_42
What is the emotion in the image Ci-AH39fi3Y_43?,normal,Ci-AH39fi3Y_43
What is the emotion in the image Ci-AH39fi3Y_4?,happy,Ci-AH39fi3Y_4
What is the emotion in the image Ci-AH39fi3Y_5?,happy,Ci-AH39fi3Y_5
What is the emotion in the image Ci-AH39fi3Y_6?,normal,Ci-AH39fi3Y_6
What is the emotion in the image Ci-AH39fi3Y_7?,happy,Ci-AH39fi3Y_7
What is the emotion in the image Ci-AH39fi3Y_8?,happy,Ci-AH39fi3Y_8
What is the emotion in the image Ci-AH39fi3Y_9?,happy,Ci-AH39fi3Y_9
What is the emotion in the image Clx4VXItLTE_0?,normal,Clx4VXItLTE_0
What is the emotion in the image Clx4VXItLTE_10?,sad,Clx4VXItLTE_10
What is the emotion in the image Clx4VXItLTE_11?,sad,Clx4VXItLTE_11
What is the emotion in the image Clx4VXItLTE_12?,normal,Clx4VXItLTE_12
What is the emotion in the image Clx4VXItLTE_13?,happy,Clx4VXItLTE_13
What is the emotion in the image Clx4VXItLTE_14?,normal,Clx4VXItLTE_14
What is the emotion in the image Clx4VXItLTE_15?,sad,Clx4VXItLTE_15
What is the emotion in the image Clx4VXItLTE_16?,normal,Clx4VXItLTE_16
What is the emotion in the image Clx4VXItLTE_17?,normal,Clx4VXItLTE_17
What is the emotion in the image Clx4VXItLTE_18?,happy,Clx4VXItLTE_18
What is the emotion in the image Clx4VXItLTE_19?,happy,Clx4VXItLTE_19
What is the emotion in the image Clx4VXItLTE_1?,normal,Clx4VXItLTE_1
What is the emotion in the image Clx4VXItLTE_20?,normal,Clx4VXItLTE_20
